stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
55,0.5,2.0,54.64614945900394,,54.63774387500598,54.64614945900394,55.13561983400723,55.13561983400723,55.140473709005164,55.42256270900543,55.553714667010354,left,-2.0,1,1,0.4120695000019623,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
56,0.5,2.0,55.56252554200182,,55.55410654201114,55.56252554200182,56.052271667009336,56.052271667009336,56.0561846250057,56.33884941700671,56.47080870901118,right,2.0,0,0,0.4073467080015689,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
57,0.5,2.5,56.4798048340017,,56.471360584007925,56.4798048340017,56.968806459000916,56.968806459000916,56.972932375007076,57.256473834000644,57.83719995900174,right,2.5,0,0,0.8638252079981612,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
58,0.5,3.0,57.84581275000528,,57.8375662920007,57.84581275000528,58.33554420901055,58.33554420901055,58.339768084013485,58.62173004201031,58.970442084013484,right,3.0,1,1,0.6320776250067865,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
59,0.5,3.0,58.97949729200627,,58.97081829200033,58.97949729200627,59.46876520900696,59.46876520900696,59.47309291700367,59.755639209004585,59.98713462500018,left,-3.0,1,1,0.5088359159999527,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
60,0.5,3.0,59.99505704200419,,59.98751400000765,59.99505704200419,60.48573045901139,60.48573045901139,60.49119716700807,60.77244341700862,60.88714591700409,right,3.0,0,0,0.3886480829969514,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
61,0.5,3.5,60.89640050000162,,60.887530792009784,60.89640050000162,61.38545725001313,61.38545725001313,61.38935125000717,61.672991792001994,62.17089708401181,right,3.5,0,0,0.7781384169938974,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
62,0.5,4.0,62.179136083999765,,62.17124533400056,62.179136083999765,62.668864375009434,62.668864375009434,62.67277675001242,62.955413084011525,63.15410200000042,right,4.0,0,0,0.4826612080069026,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
63,0.5,4.5,63.1631505000114,,63.154501750002964,63.1631505000114,63.65213308400416,63.65213308400416,63.65597837501264,63.93944295900292,64.07370633400569,left,-4.5,1,1,0.41832124900247436,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
64,0.5,4.5,64.08562529200572,,64.07397491700249,64.08562529200572,64.5687552090094,64.5687552090094,64.57286279200343,64.85625116700248,65.30382270900009,right,4.5,0,0,0.7287616659887135,769539,001,2025-09-04_09h28.35.174,bhakti_apdaptive staircase,,2025.1.1,None,2025-09-04 09h28.38.310489 +0530,
